"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Oct 15 17:20:56 GMT 2023","Sun Oct 15 17:20:56 GMT 2023","0","tests","test_labels","","","","test_dynamic_labels",""
"passed","Sun Oct 15 17:20:52 GMT 2023","Sun Oct 15 17:20:52 GMT 2023","0","tests","test_attachments","","","","test_attachments",""
"skipped","Sun Oct 15 17:20:56 GMT 2023","Sun Oct 15 17:20:56 GMT 2023","0","tests","test_steps","","","","test_dynamic_steps",""
"skipped","Sun Oct 15 17:20:56 GMT 2023","Sun Oct 15 17:20:56 GMT 2023","0","tests","test_labels","","","","test_decorator_labels",""
"skipped","Sun Oct 15 17:20:56 GMT 2023","Sun Oct 15 17:20:56 GMT 2023","0","tests","test_selene","","","","test_github",""
"broken","Sun Oct 15 17:20:55 GMT 2023","Sun Oct 15 17:20:56 GMT 2023","909","tests","test_github","","","","test_github_with_decorator_allure",""
"broken","Sun Oct 15 17:20:52 GMT 2023","Sun Oct 15 17:20:54 GMT 2023","1641","tests","test_github","","","","test_gihub_wihtout_allure",""
"skipped","Sun Oct 15 17:20:56 GMT 2023","Sun Oct 15 17:20:56 GMT 2023","0","tests","test_labels","","","","test_no_labels",""
"skipped","Sun Oct 15 17:20:56 GMT 2023","Sun Oct 15 17:20:56 GMT 2023","0","tests","test_steps","","","","test_decorator_steps",""
"broken","Sun Oct 15 17:20:54 GMT 2023","Sun Oct 15 17:20:55 GMT 2023","896","tests","test_github","","","","test_gihub_wiht_allure_step",""
