"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Oct 15 15:58:41 GMT 2023","Sun Oct 15 15:58:41 GMT 2023","0","tests","test_steps","","","","test_dynamic_steps",""
"broken","Sun Oct 15 15:58:39 GMT 2023","Sun Oct 15 15:58:40 GMT 2023","1072","tests","test_github","","","","test_gihub_wiht_allure_step",""
"skipped","Sun Oct 15 15:58:41 GMT 2023","Sun Oct 15 15:58:41 GMT 2023","0","tests","test_steps","","","","test_decorator_steps",""
"broken","Sun Oct 15 15:58:40 GMT 2023","Sun Oct 15 15:58:41 GMT 2023","1074","tests","test_github","","","","test_github_with_decorator_allure",""
"passed","Sun Oct 15 15:58:36 GMT 2023","Sun Oct 15 15:58:36 GMT 2023","1","tests","test_attachments","","","","test_attachments",""
"skipped","Sun Oct 15 15:58:41 GMT 2023","Sun Oct 15 15:58:41 GMT 2023","0","tests","test_labels","","","","test_dynamic_labels",""
"skipped","Sun Oct 15 15:58:41 GMT 2023","Sun Oct 15 15:58:41 GMT 2023","0","tests","test_labels","","","","test_decorator_labels",""
"skipped","Sun Oct 15 15:58:41 GMT 2023","Sun Oct 15 15:58:41 GMT 2023","0","tests","test_labels","","","","test_no_labels",""
"skipped","Sun Oct 15 15:58:41 GMT 2023","Sun Oct 15 15:58:41 GMT 2023","0","tests","test_selene","","","","test_github",""
"broken","Sun Oct 15 15:58:36 GMT 2023","Sun Oct 15 15:58:39 GMT 2023","2332","tests","test_github","","","","test_gihub_wihtout_allure",""
