"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Oct 15 16:53:51 GMT 2023","Sun Oct 15 16:53:52 GMT 2023","1005","tests","test_github","","","","test_github_with_decorator_allure",""
"skipped","Sun Oct 15 16:53:52 GMT 2023","Sun Oct 15 16:53:52 GMT 2023","0","tests","test_labels","","","","test_no_labels",""
"skipped","Sun Oct 15 16:53:52 GMT 2023","Sun Oct 15 16:53:52 GMT 2023","0","tests","test_selene","","","","test_github",""
"passed","Sun Oct 15 16:53:43 GMT 2023","Sun Oct 15 16:53:43 GMT 2023","1","tests","test_attachments","","","","test_attachments",""
"skipped","Sun Oct 15 16:53:52 GMT 2023","Sun Oct 15 16:53:52 GMT 2023","0","tests","test_labels","","","","test_decorator_labels",""
"broken","Sun Oct 15 16:53:50 GMT 2023","Sun Oct 15 16:53:51 GMT 2023","1013","tests","test_github","","","","test_gihub_wiht_allure_step",""
"broken","Sun Oct 15 16:53:43 GMT 2023","Sun Oct 15 16:53:50 GMT 2023","6668","tests","test_github","","","","test_gihub_wihtout_allure",""
"skipped","Sun Oct 15 16:53:52 GMT 2023","Sun Oct 15 16:53:52 GMT 2023","0","tests","test_steps","","","","test_decorator_steps",""
"skipped","Sun Oct 15 16:53:52 GMT 2023","Sun Oct 15 16:53:52 GMT 2023","0","tests","test_labels","","","","test_dynamic_labels",""
"skipped","Sun Oct 15 16:53:52 GMT 2023","Sun Oct 15 16:53:52 GMT 2023","0","tests","test_steps","","","","test_dynamic_steps",""
