"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Oct 15 16:25:22 GMT 2023","Sun Oct 15 16:25:23 GMT 2023","923","tests","test_github","","","","test_gihub_wiht_allure_step",""
"broken","Sun Oct 15 16:25:23 GMT 2023","Sun Oct 15 16:25:24 GMT 2023","929","tests","test_github","","","","test_github_with_decorator_allure",""
"skipped","Sun Oct 15 16:25:24 GMT 2023","Sun Oct 15 16:25:24 GMT 2023","0","tests","test_labels","","","","test_no_labels",""
"skipped","Sun Oct 15 16:25:24 GMT 2023","Sun Oct 15 16:25:24 GMT 2023","0","tests","test_labels","","","","test_dynamic_labels",""
"broken","Sun Oct 15 16:25:13 GMT 2023","Sun Oct 15 16:25:22 GMT 2023","8283","tests","test_github","","","","test_gihub_wihtout_allure",""
"passed","Sun Oct 15 16:25:13 GMT 2023","Sun Oct 15 16:25:13 GMT 2023","1","tests","test_attachments","","","","test_attachments",""
"skipped","Sun Oct 15 16:25:24 GMT 2023","Sun Oct 15 16:25:24 GMT 2023","0","tests","test_steps","","","","test_dynamic_steps",""
"skipped","Sun Oct 15 16:25:24 GMT 2023","Sun Oct 15 16:25:24 GMT 2023","0","tests","test_selene","","","","test_github",""
"skipped","Sun Oct 15 16:25:24 GMT 2023","Sun Oct 15 16:25:24 GMT 2023","0","tests","test_labels","","","","test_decorator_labels",""
"skipped","Sun Oct 15 16:25:24 GMT 2023","Sun Oct 15 16:25:24 GMT 2023","0","tests","test_steps","","","","test_decorator_steps",""
